"Kategori","Pesan","Kategori_NusaGuard","Subtipe","Provenance","Synthetic","Reviewed","Template_ID"
"spam","Mohon perhatian, Kesempatan cuan pasti 25% per minggu, transfer modal sebelum batas waktu. Harap cek kembali.","Penipuan Investasi","profit_pasti","synthetic_template_v1","true","false","INV-3"
"spam","Kepada Yth. Bapak/Ibu, Dana Anda akan dikelola profesional dengan hasil pasti 40% per bulan. Ditunggu konfirmasinya.","Penipuan Investasi","trading_palsu","synthetic_template_v1","true","false","INV-7"
"spam","Mohon perhatian, Atasan meminta transfer darurat Rp500.000; jangan hubungi siapa pun dulu. Ditunggu konfirmasinya.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-5"
"spam","Selamat pagi, Setelah semua obrolan kita, buktikan kepercayaanmu dengan membantu transfer Rp150.000. Harap cek kembali.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-3"
"spam","Halo pelanggan, Customer service meminta foto kartu dan kode rahasia untuk membuka blokir. Terima kasih.","Social Engineering","ancaman_akun","synthetic_template_v1","true","false","SOC-9"
"spam","Halo pelanggan, Proyek kripto rahasia akan naik 30%. Jangan lewatkan penawaran dalam 30 menit. Mohon diperhatikan.","Penipuan Investasi","trading_palsu","synthetic_template_v1","true","false","INV-5"
"ham","Halo kak, Pengumuman kampus dapat dilihat melalui portal akademik resmi. Semoga membantu.","Aman","undangan_aman","synthetic_template_v1","true","false","AMN-8"
"ham","Permisi, Foto undangan pernikahan sudah saya kirim dalam format JPG. Sampai jumpa di acara ya. Mohon diperhatikan.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-3"
"spam","Permisi, Robot trading legal menjamin return tetap. Buka akun dengan setoran Rp5.000.000. Demikian informasinya.","Penipuan Investasi","profit_pasti","synthetic_template_v1","true","false","INV-4"
"spam","Assalamualaikum, Nomor Anda bermasalah. Kirim kode verifikasi kepada petugas ini sekarang. Salam.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-3"
"spam","Halo pelanggan, Undangan resmi elektronik tersedia melalui link http://undangan-0312.invalid. Mohon diperhatikan.","Phishing/Link Berbahaya","tautan_login_palsu","synthetic_template_v1","true","false","PHI-9"
"spam","Halo kak, Investasi kebun digital memberi bonus anggota dan keuntungan tanpa rugi. Terima kasih.","Penipuan Investasi","trading_palsu","synthetic_template_v1","true","false","INV-6"
"ham","Permisi, Jadwal konsultasi dipindah ke minggu depan pukul 19.00 melalui ruang kelas resmi. Demikian informasinya.","Aman","undangan_aman","synthetic_template_v1","true","false","AMN-5"
"ham","Info untuk Anda, Undangan rapat RT terlampir sebagai dokumen PDF dari pengurus yang kamu kenal. Terima kasih atas waktunya.","Aman","informasi_resmi","synthetic_template_v1","true","false","AMN-10"
"ham","Halo pelanggan, Besok rapat kelompok dimulai pukul 09.30 di ruang A1. Terima kasih.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-1"
"spam","Permisi, Pihak berwenang mengancam denda bila data pribadi tidak dikirim malam ini. Salam.","Social Engineering","ancaman_akun","synthetic_template_v1","true","false","SOC-10"
"spam","Halo pelanggan, Posisi terbatas, amankan kursi kerja dengan transfer Rp1.250.000. Terima kasih atas waktunya.","Penipuan Rekrutmen","hrd_palsu","synthetic_template_v1","true","false","REK-9"
"spam","Halo kak, HRD membuka lowongan kerja. Bayar biaya administrasi Rp150.000 sebelum interview. Terima kasih atas waktunya.","Penipuan Rekrutmen","biaya_administrasi","synthetic_template_v1","true","false","REK-1"
"spam","Info untuk Anda, Investasi kebun digital memberi bonus anggota dan keuntungan tanpa rugi. Terima kasih.","Penipuan Investasi","trading_palsu","synthetic_template_v1","true","false","INV-6"
"ham","Hai, Besok rapat kelompok dimulai pukul 09.30 di ruang A1. Ditunggu konfirmasinya.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-1"
"spam","Halo kak, HRD membuka lowongan kerja. Bayar biaya administrasi Rp500.000 sebelum interview. Demikian informasinya.","Penipuan Rekrutmen","biaya_administrasi","synthetic_template_v1","true","false","REK-1"
"ham","Mohon perhatian, Besok rapat kelompok dimulai pukul 13.00 di ruang A1. Terima kasih atas waktunya.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-1"
"spam","Selamat pagi, HRD meminta pembayaran medical check-up ke rekening pribadi sebelum batas waktu. Harap cek kembali.","Penipuan Rekrutmen","tugas_like","synthetic_template_v1","true","false","REK-8"
"spam","Selamat sore, Detail waktu dan lokasi pernikahan ada di Undangan Pernikahan 0012.apk, silakan buka sekarang. Terima kasih.","Phishing/Link Berbahaya","undangan_apk","synthetic_template_v1","true","false","PHI-3"
"spam","Assalamualaikum, Saya petugas bank. Sebutkan OTP yang baru masuk agar rekening tidak diblokir malam ini. Ditunggu konfirmasinya.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-1"
"spam","Hai, Bukti profit sudah banyak. Transfer dana awal agar akun investasi diaktifkan. Terima kasih atas waktunya.","Penipuan Investasi","deposit_awal","synthetic_template_v1","true","false","INV-10"
"spam","Hai, Setelah semua obrolan kita, buktikan kepercayaanmu dengan membantu transfer Rp2.500.000. Harap cek kembali.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-3"
"spam","Kepada Yth. Bapak/Ibu, Jangan beri tahu keluargamu tentang hubungan kita. Aku butuh bantuan dana sebelum pukul 18.00. Terima kasih.","Penipuan Romansa","hadiah_tertahan","synthetic_template_v1","true","false","ROM-6"
"spam","Permisi, Kita sudah dekat lama. Tolong bantu biaya pengobatan keluargaku sebesar Rp5.000.000. Mohon diperhatikan.","Penipuan Romansa","darurat_palsu","synthetic_template_v1","true","false","ROM-10"
"spam","Assalamualaikum, Akun akan dinonaktifkan bila Anda tidak membalas dengan OTP sebelum batas waktu. Harap cek kembali.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-6"
"spam","Selamat pagi, Nomor Anda bermasalah. Kirim kode verifikasi kepada petugas ini sebelum batas waktu. Salam.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-3"
"spam","Permisi, Petugas pajak meminta data rekening dan PIN untuk pengembalian dana. Semoga membantu.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-7"
"spam","Permisi, Rekrutmen resmi tanpa wawancara, bayar pelatihan wajib sebesar Rp350.000. Demikian informasinya.","Penipuan Rekrutmen","tugas_like","synthetic_template_v1","true","false","REK-6"
"spam","Mohon perhatian, Saya dari kantor pusat, mohon konfirmasi password untuk pemeriksaan keamanan. Terima kasih.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-4"
"ham","Selamat sore, Jadwal konsultasi dipindah ke Rabu pukul 15.30 melalui ruang kelas resmi. Ditunggu konfirmasinya.","Aman","undangan_aman","synthetic_template_v1","true","false","AMN-5"
"ham","Selamat sore, Besok rapat kelompok dimulai pukul 08.00 di ruang laboratorium. Ditunggu konfirmasinya.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-1"
"spam","Assalamualaikum, Aku bekerja di luar negeri dan akan pulang menemuimu. Bayarkan bea paket hadiah dulu. Ditunggu konfirmasinya.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-4"
"spam","Info untuk Anda, Dana Anda akan dikelola profesional dengan hasil pasti 50% per bulan. Salam.","Penipuan Investasi","trading_palsu","synthetic_template_v1","true","false","INV-7"
"spam","Selamat sore, Aku kehilangan dompet saat perjalanan menemuimu. Tolong transfer Rp350.000. Mohon diperhatikan.","Penipuan Romansa","darurat_palsu","synthetic_template_v1","true","false","ROM-9"
"spam","Selamat pagi, Posisi terbatas, amankan kursi kerja dengan transfer Rp5.000.000. Harap cek kembali.","Penipuan Rekrutmen","hrd_palsu","synthetic_template_v1","true","false","REK-9"
"spam","Halo pelanggan, Saya keluarga Anda memakai nomor baru. Tolong transfer Rp150.000 karena sedang darurat. Harap cek kembali.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-8"
"spam","Permisi, Jangan beri tahu keluargamu tentang hubungan kita. Aku butuh bantuan dana malam ini. Terima kasih atas waktunya.","Penipuan Romansa","hadiah_tertahan","synthetic_template_v1","true","false","ROM-6"
"spam","Halo kak, Saya dari kantor pusat, mohon konfirmasi password untuk pemeriksaan keamanan. Semoga membantu.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-4"
"spam","Selamat pagi, Admin layanan membutuhkan PIN Anda untuk membatalkan transaksi Rp1.250.000. Ditunggu konfirmasinya.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-2"
"ham","Hai, Aku sudah sampai rumah. Kabari kalau kamu juga sudah sampai dengan aman. Terima kasih atas waktunya.","Aman","informasi_resmi","synthetic_template_v1","true","false","AMN-9"
"ham","Hai, Foto undangan pernikahan sudah saya kirim dalam format JPG. Sampai jumpa di acara ya. Salam.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-3"
"spam","Permisi, Gabung grup trading kami, modal Rp150.000 dijamin berlipat dalam 10 hari. Semoga membantu.","Penipuan Investasi","profit_pasti","synthetic_template_v1","true","false","INV-2"
"spam","Kepada Yth. Bapak/Ibu, Posisi terbatas, amankan kursi kerja dengan transfer Rp500.000. Terima kasih atas waktunya.","Penipuan Rekrutmen","hrd_palsu","synthetic_template_v1","true","false","REK-9"
"spam","Kepada Yth. Bapak/Ibu, Tugas online mudah menghasilkan komisi. Top up saldo agar tugas berikutnya terbuka. Terima kasih atas waktunya.","Penipuan Rekrutmen","tugas_like","synthetic_template_v1","true","false","REK-7"
"spam","Selamat pagi, Hadiah pelanggan menunggu. Pasang Bonus_Resmi_0341.apk untuk klaim. Terima kasih.","Phishing/Link Berbahaya","paket_apk","synthetic_template_v1","true","false","PHI-8"
"spam","Mohon perhatian, Bisnis passive income tanpa kerja, modal kembali dalam 7 hari. Harap cek kembali.","Penipuan Investasi","deposit_awal","synthetic_template_v1","true","false","INV-9"
"spam","Selamat sore, Admin layanan membutuhkan PIN Anda untuk membatalkan transaksi Rp2.500.000. Salam.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-2"
"spam","Halo pelanggan, Saya petugas bank. Sebutkan OTP yang baru masuk agar rekening tidak diblokir sekarang. Harap cek kembali.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-1"
"spam","Permisi, Penerimaan pegawai kilat. Rahasiakan proses dan lunasi biaya dokumen. Demikian informasinya.","Penipuan Rekrutmen","hrd_palsu","synthetic_template_v1","true","false","REK-10"
"spam","Kepada Yth. Bapak/Ibu, Nomor Anda bermasalah. Kirim kode verifikasi kepada petugas ini dalam 30 menit. Salam.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-3"
"spam","Mohon perhatian, Atasan meminta transfer darurat Rp150.000; jangan hubungi siapa pun dulu. Terima kasih.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-5"
"spam","Kepada Yth. Bapak/Ibu, Robot trading legal menjamin return tetap. Buka akun dengan setoran Rp500.000. Demikian informasinya.","Penipuan Investasi","profit_pasti","synthetic_template_v1","true","false","INV-4"
"ham","Selamat sore, Jadwal konsultasi dipindah ke minggu depan pukul 09.30 melalui ruang kelas resmi. Terima kasih.","Aman","undangan_aman","synthetic_template_v1","true","false","AMN-5"
"ham","Kepada Yth. Bapak/Ibu, Kami mengundang Anda ke pernikahan keluarga kami pada Sabtu. Undangan berupa PDF, tidak perlu memasang aplikasi. Harap cek kembali.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-2"
"spam","Info untuk Anda, Atasan meminta transfer darurat Rp2.500.000; jangan hubungi siapa pun dulu. Terima kasih.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-5"
"spam","Info untuk Anda, Detail waktu dan lokasi pernikahan ada di Undangan Pernikahan 0070.apk, silakan buka sebelum pukul 18.00. Demikian informasinya.","Phishing/Link Berbahaya","undangan_apk","synthetic_template_v1","true","false","PHI-3"
"spam","Halo pelanggan, Saya keluarga Anda memakai nomor baru. Tolong transfer Rp1.250.000 karena sedang darurat. Mohon diperhatikan.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-8"
"ham","Permisi, Paket sudah diterima oleh satpam. Silakan diambil tanpa biaya tambahan. Demikian informasinya.","Aman","undangan_aman","synthetic_template_v1","true","false","AMN-6"
"ham","Halo pelanggan, Foto undangan pernikahan sudah saya kirim dalam format JPG. Sampai jumpa di acara ya. Semoga membantu.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-3"
"spam","Selamat sore, Hadiah pelanggan menunggu. Pasang Bonus_Resmi_0111.apk untuk klaim. Demikian informasinya.","Phishing/Link Berbahaya","paket_apk","synthetic_template_v1","true","false","PHI-8"
"spam","Assalamualaikum, Proyek kripto rahasia akan naik 40%. Jangan lewatkan penawaran sebelum pukul 18.00. Terima kasih atas waktunya.","Penipuan Investasi","trading_palsu","synthetic_template_v1","true","false","INV-5"
"spam","Kepada Yth. Bapak/Ibu, Bisnis passive income tanpa kerja, modal kembali dalam 3 hari. Terima kasih atas waktunya.","Penipuan Investasi","deposit_awal","synthetic_template_v1","true","false","INV-9"
"spam","Mohon perhatian, Investasi kebun digital memberi bonus anggota dan keuntungan tanpa rugi. Semoga membantu.","Penipuan Investasi","trading_palsu","synthetic_template_v1","true","false","INV-6"
"spam","Permisi, Saya dari kantor pusat, mohon konfirmasi password untuk pemeriksaan keamanan. Terima kasih.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-4"
"spam","Permisi, Paket Anda tertahan. Download aplikasi Cek_Resi_0281.apk untuk memilih jadwal antar. Demikian informasinya.","Phishing/Link Berbahaya","undangan_apk","synthetic_template_v1","true","false","PHI-4"
"spam","Selamat pagi, Setelah semua obrolan kita, buktikan kepercayaanmu dengan membantu transfer Rp2.500.000. Harap cek kembali.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-3"
"spam","Kepada Yth. Bapak/Ibu, Petugas pajak meminta data rekening dan PIN untuk pengembalian dana. Ditunggu konfirmasinya.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-7"
"spam","Kepada Yth. Bapak/Ibu, HRD meminta pembayaran medical check-up ke rekening pribadi sekarang. Demikian informasinya.","Penipuan Rekrutmen","tugas_like","synthetic_template_v1","true","false","REK-8"
"spam","Hai, Kami mengundang Anda ke pesta pernikahan. Buka Foto Undangan_0231.apk untuk info lengkapnya. Demikian informasinya.","Phishing/Link Berbahaya","undangan_apk","synthetic_template_v1","true","false","PHI-1"
"spam","Assalamualaikum, Setelah semua obrolan kita, buktikan kepercayaanmu dengan membantu transfer Rp5.000.000. Terima kasih.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-3"
"spam","Halo kak, Kami mengundang Anda ke pesta pernikahan. Buka Foto Undangan_0069.apk untuk info lengkapnya. Terima kasih.","Phishing/Link Berbahaya","undangan_apk","synthetic_template_v1","true","false","PHI-1"
"spam","Mohon perhatian, Customer service meminta foto kartu dan kode rahasia untuk membuka blokir. Terima kasih atas waktunya.","Social Engineering","ancaman_akun","synthetic_template_v1","true","false","SOC-9"
"spam","Info untuk Anda, Jangan beri tahu keluargamu tentang hubungan kita. Aku butuh bantuan dana dalam 30 menit. Terima kasih atas waktunya.","Penipuan Romansa","hadiah_tertahan","synthetic_template_v1","true","false","ROM-6"
"spam","Halo kak, Tugas online mudah menghasilkan komisi. Top up saldo agar tugas berikutnya terbuka. Terima kasih.","Penipuan Rekrutmen","tugas_like","synthetic_template_v1","true","false","REK-7"
"spam","Mohon perhatian, Detail waktu dan lokasi pernikahan ada di Undangan Pernikahan 0400.apk, silakan buka dalam 30 menit. Demikian informasinya.","Phishing/Link Berbahaya","undangan_apk","synthetic_template_v1","true","false","PHI-3"
"ham","Selamat sore, Besok rapat kelompok dimulai pukul 13.00 di ruang B3. Terima kasih.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-1"
"spam","Mohon perhatian, Bukti profit sudah banyak. Transfer dana awal agar akun investasi diaktifkan. Terima kasih atas waktunya.","Penipuan Investasi","deposit_awal","synthetic_template_v1","true","false","INV-10"
"spam","Mohon perhatian, Undangan resmi elektronik tersedia melalui link http://undangan-0410.invalid. Semoga membantu.","Phishing/Link Berbahaya","tautan_login_palsu","synthetic_template_v1","true","false","PHI-9"
"spam","Halo pelanggan, Kami lampirkan Undangan_Digital_Pernikahan_0445.apk. Mohon diunduh untuk melihat peta lokasi. Ditunggu konfirmasinya.","Phishing/Link Berbahaya","undangan_apk","synthetic_template_v1","true","false","PHI-2"
"ham","Selamat sore, Terima kasih sudah hadir di acara keluarga kemarin, foto ada di album bersama. Harap cek kembali.","Aman","undangan_aman","synthetic_template_v1","true","false","AMN-7"
"spam","Halo pelanggan, Saya dari kantor pusat, mohon konfirmasi password untuk pemeriksaan keamanan. Semoga membantu.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-4"
"spam","Selamat sore, Tugas online mudah menghasilkan komisi. Top up saldo agar tugas berikutnya terbuka. Ditunggu konfirmasinya.","Penipuan Rekrutmen","tugas_like","synthetic_template_v1","true","false","REK-7"
"spam","Selamat sore, Anda diterima tanpa tes. Transfer biaya seragam Rp5.000.000 hari ini. Terima kasih atas waktunya.","Penipuan Rekrutmen","biaya_administrasi","synthetic_template_v1","true","false","REK-2"
"spam","Selamat sore, Aku bekerja di luar negeri dan akan pulang menemuimu. Bayarkan bea paket hadiah dulu. Salam.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-4"
"spam","Hai, Aku serius ingin menikah denganmu, tetapi paket hadiahku tertahan dan perlu biaya Rp2.500.000. Terima kasih atas waktunya.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-2"
"ham","Halo kak, Besok rapat kelompok dimulai pukul 19.00 di ruang C2. Salam.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-1"
"spam","Info untuk Anda, Anda diterima tanpa tes. Transfer biaya seragam Rp350.000 sebelum batas waktu. Salam.","Penipuan Rekrutmen","biaya_administrasi","synthetic_template_v1","true","false","REK-2"
"spam","Assalamualaikum, Kesempatan cuan pasti 50% per minggu, transfer modal hari ini. Salam.","Penipuan Investasi","profit_pasti","synthetic_template_v1","true","false","INV-3"
"spam","Mohon perhatian, Investasi eksklusif menjanjikan profit 30% tanpa risiko. Deposit mulai Rp1.250.000. Harap cek kembali.","Penipuan Investasi","profit_pasti","synthetic_template_v1","true","false","INV-1"
"spam","Selamat pagi, Nomor Anda bermasalah. Kirim kode verifikasi kepada petugas ini dalam 30 menit. Demikian informasinya.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-3"
"spam","Permisi, Robot trading legal menjamin return tetap. Buka akun dengan setoran Rp2.500.000. Mohon diperhatikan.","Penipuan Investasi","profit_pasti","synthetic_template_v1","true","false","INV-4"
"spam","Kepada Yth. Bapak/Ibu, Bukti profit sudah banyak. Transfer dana awal agar akun investasi diaktifkan. Mohon diperhatikan.","Penipuan Investasi","deposit_awal","synthetic_template_v1","true","false","INV-10"
"spam","Mohon perhatian, Paket Anda tertahan. Download aplikasi Cek_Resi_0453.apk untuk memilih jadwal antar. Mohon diperhatikan.","Phishing/Link Berbahaya","undangan_apk","synthetic_template_v1","true","false","PHI-4"
"ham","Permisi, Kami mengundang Anda ke pernikahan keluarga kami pada Rabu. Undangan berupa PDF, tidak perlu memasang aplikasi. Mohon diperhatikan.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-2"
"spam","Assalamualaikum, Buka file Galeri_Pernikahan_0401.apk agar foto dan alamat gedung terlihat. Ditunggu konfirmasinya.","Phishing/Link Berbahaya","paket_apk","synthetic_template_v1","true","false","PHI-7"
"spam","Selamat sore, Kami lampirkan Undangan_Digital_Pernikahan_0470.apk. Mohon diunduh untuk melihat peta lokasi. Terima kasih.","Phishing/Link Berbahaya","undangan_apk","synthetic_template_v1","true","false","PHI-2"
"spam","Hai, Customer service meminta foto kartu dan kode rahasia untuk membuka blokir. Mohon diperhatikan.","Social Engineering","ancaman_akun","synthetic_template_v1","true","false","SOC-9"
"spam","Mohon perhatian, Pihak berwenang mengancam denda bila data pribadi tidak dikirim hari ini. Terima kasih.","Social Engineering","ancaman_akun","synthetic_template_v1","true","false","SOC-10"
