"Kategori","Pesan","Kategori_NusaGuard","Subtipe","Provenance","Synthetic","Reviewed","Template_ID"
"ham","Kepada Yth. Bapak/Ibu, Paket sudah diterima oleh satpam. Silakan diambil tanpa biaya tambahan. Terima kasih atas waktunya.","Aman","undangan_aman","synthetic_template_v1","true","false","AMN-6"
"spam","Hai, Saya petugas bank. Sebutkan OTP yang baru masuk agar rekening tidak diblokir hari ini. Ditunggu konfirmasinya.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-1"
"ham","Halo pelanggan, Aku sudah sampai rumah. Kabari kalau kamu juga sudah sampai dengan aman. Demikian informasinya.","Aman","informasi_resmi","synthetic_template_v1","true","false","AMN-9"
"spam","Halo kak, Penerimaan pegawai kilat. Rahasiakan proses dan lunasi biaya dokumen. Mohon diperhatikan.","Penipuan Rekrutmen","hrd_palsu","synthetic_template_v1","true","false","REK-10"
"spam","Halo pelanggan, Sayang, aku sedang darurat di luar kota. Tolong kirim uang Rp150.000 sekarang. Terima kasih atas waktunya.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-1"
"spam","Selamat pagi, Akun bank akan dinonaktifkan. Verifikasi melalui https://bank-verifikasi-0070.invalid. Semoga membantu.","Phishing/Link Berbahaya","paket_apk","synthetic_template_v1","true","false","PHI-5"
"spam","Kepada Yth. Bapak/Ibu, Kerja paruh waktu dari rumah, tugas memberi like dengan deposit awal Rp2.500.000. Demikian informasinya.","Penipuan Rekrutmen","biaya_administrasi","synthetic_template_v1","true","false","REK-3"
"spam","Mohon perhatian, Nomor Anda bermasalah. Kirim kode verifikasi kepada petugas ini hari ini. Terima kasih atas waktunya.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-3"
"spam","Halo kak, Aku ingin membangun masa depan bersama, kirim modal kecil untuk usaha kita. Ditunggu konfirmasinya.","Penipuan Romansa","hadiah_tertahan","synthetic_template_v1","true","false","ROM-7"
"spam","Halo kak, Customer service meminta foto kartu dan kode rahasia untuk membuka blokir. Mohon diperhatikan.","Social Engineering","ancaman_akun","synthetic_template_v1","true","false","SOC-9"
"spam","Selamat sore, Nomor Anda bermasalah. Kirim kode verifikasi kepada petugas ini hari ini. Mohon diperhatikan.","Social Engineering","permintaan_otp","synthetic_template_v1","true","false","SOC-3"
"spam","Selamat sore, Gabung grup trading kami, modal Rp2.500.000 dijamin berlipat dalam 10 hari. Demikian informasinya.","Penipuan Investasi","profit_pasti","synthetic_template_v1","true","false","INV-2"
"spam","Kepada Yth. Bapak/Ibu, Setelah semua obrolan kita, buktikan kepercayaanmu dengan membantu transfer Rp350.000. Salam.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-3"
"spam","Halo kak, Bisnis passive income tanpa kerja, modal kembali dalam 2 hari. Terima kasih.","Penipuan Investasi","deposit_awal","synthetic_template_v1","true","false","INV-9"
"spam","Mohon perhatian, Atasan meminta transfer darurat Rp5.000.000; jangan hubungi siapa pun dulu. Semoga membantu.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-5"
"spam","Halo pelanggan, Aku kehilangan dompet saat perjalanan menemuimu. Tolong transfer Rp5.000.000. Semoga membantu.","Penipuan Romansa","darurat_palsu","synthetic_template_v1","true","false","ROM-9"
"spam","Halo pelanggan, Perbarui data akun melalui halaman login https://akun-aman-0513.invalid hari ini. Harap cek kembali.","Phishing/Link Berbahaya","tautan_login_palsu","synthetic_template_v1","true","false","PHI-10"
"ham","Hai, Kami mengundang Anda ke pernikahan keluarga kami pada Rabu. Undangan berupa PDF, tidak perlu memasang aplikasi. Terima kasih.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-2"
"spam","Selamat sore, Atasan meminta transfer darurat Rp350.000; jangan hubungi siapa pun dulu. Terima kasih atas waktunya.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-5"
"ham","Selamat sore, Tolong beli makan siang saat pulang dari kampus, nanti saya ganti. Demikian informasinya.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-4"
"spam","Selamat sore, HRD membuka lowongan kerja. Bayar biaya administrasi Rp500.000 sebelum interview. Ditunggu konfirmasinya.","Penipuan Rekrutmen","biaya_administrasi","synthetic_template_v1","true","false","REK-1"
"spam","Halo kak, Aku bekerja di luar negeri dan akan pulang menemuimu. Bayarkan bea paket hadiah dulu. Mohon diperhatikan.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-4"
"spam","Mohon perhatian, Sayang, aku sedang darurat di luar kota. Tolong kirim uang Rp2.500.000 sekarang. Salam.","Penipuan Romansa","pinjaman_pasangan","synthetic_template_v1","true","false","ROM-1"
"ham","Hai, Paket sudah diterima oleh satpam. Silakan diambil tanpa biaya tambahan. Terima kasih.","Aman","undangan_aman","synthetic_template_v1","true","false","AMN-6"
"spam","Mohon perhatian, HRD membuka lowongan kerja. Bayar biaya administrasi Rp350.000 sebelum interview. Salam.","Penipuan Rekrutmen","biaya_administrasi","synthetic_template_v1","true","false","REK-1"
"spam","Info untuk Anda, Bisnis passive income tanpa kerja, modal kembali dalam 5 hari. Terima kasih.","Penipuan Investasi","deposit_awal","synthetic_template_v1","true","false","INV-9"
"ham","Info untuk Anda, Besok rapat kelompok dimulai pukul 09.30 di ruang aula. Terima kasih.","Aman","percakapan_harian","synthetic_template_v1","true","false","AMN-1"
"spam","Hai, Kesempatan cuan pasti 20% per minggu, transfer modal sekarang. Mohon diperhatikan.","Penipuan Investasi","profit_pasti","synthetic_template_v1","true","false","INV-3"
"spam","Info untuk Anda, Cintaku, rekeningku diblokir. Pinjamkan Rp5.000.000, nanti langsung kuganti. Mohon diperhatikan.","Penipuan Romansa","hadiah_tertahan","synthetic_template_v1","true","false","ROM-5"
"spam","Kepada Yth. Bapak/Ibu, HRD meminta pembayaran medical check-up ke rekening pribadi malam ini. Salam.","Penipuan Rekrutmen","tugas_like","synthetic_template_v1","true","false","REK-8"
"spam","Halo pelanggan, Investasi kebun digital memberi bonus anggota dan keuntungan tanpa rugi. Harap cek kembali.","Penipuan Investasi","trading_palsu","synthetic_template_v1","true","false","INV-6"
"spam","Selamat sore, Perbarui data akun melalui halaman login https://akun-aman-0143.invalid malam ini. Ditunggu konfirmasinya.","Phishing/Link Berbahaya","tautan_login_palsu","synthetic_template_v1","true","false","PHI-10"
"spam","Kepada Yth. Bapak/Ibu, Atasan meminta transfer darurat Rp500.000; jangan hubungi siapa pun dulu. Mohon diperhatikan.","Social Engineering","penyamaran_petugas","synthetic_template_v1","true","false","SOC-5"
